data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,PC MCTA Score,Status,Rural Status,Designation Date,Update Date
Mental Health,7399993978,"Columbus Neighborhood Health Center, Inc.",Federally Qualified Health Center,Ohio,"Franklin County, OH",,19,NA,Designated,Non-Rural,10/26/2002,09/10/2021
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,CNHC dba PrimaryOne Health,"2780 Airport Dr, Ste 100",Columbus,OH,43219-2289,Franklin,Non-Rural,,,,,
,PrimaryOne Health 1180 East Main Street,1180 E Main St,Columbus,OH,43205-1902,Franklin,Non-Rural,,,,,
,PrimaryOne Health 1500 East 17th Avenue,1500 E 17th Ave,Columbus,OH,43219-1002,Franklin,Non-Rural,,,,,
,PrimaryOne Health 1751 Alum Creek Drive,1751 Alum Creek Dr,Columbus,OH,43207-1708,Franklin,Non-Rural,,,,,
,PrimaryOne Health 1905 Parsons Avenue,1905 Parsons Ave,Columbus,OH,43207-1933,Franklin,Non-Rural,,,,,
,PrimaryOne Health 2300 West Broad Street,2300 W Broad St,Columbus,OH,43204-3783,Franklin,Non-Rural,,,,,
,"PrimaryOne Health 240 Parsons Avenue, Suite 233",240 Parsons Ave,Columbus,OH,43215-5331,Franklin,Non-Rural,,,,,
,PrimaryOne Health 3433 Agler Road,3433 Agler Rd STE 2800,Columbus,OH,43219-3389,Franklin,Non-Rural,,,,,
,"PrimaryOne Health 3480 Refugee Road, Columbus, OH 43232",3480 Refugee Rd,Columbus,OH,43232-4814,Franklin,Non-Rural,,,,,
,PrimaryOne Health 3781 South High Street,3781 S High St,Columbus,OH,43207-4011,Franklin,Non-Rural,,,,,
,PrimaryOne Health 4661 Sawmill Road,"4661 Sawmill Rd, Ste 101",Columbus,OH,43220-6123,Franklin,Non-Rural,,,,,
,"PrimaryOne Health 720 East Broad Street, Suite 100, Columbus OH 43215",720 E Broad St STE 100,Columbus,OH,43215-3989,Franklin,Non-Rural,,,,,
,PrimaryOne Health Circleville,600 N Pickaway St STE 300,Circleville,OH,43113-1447,Pickaway,Rural,,,,,
,PrimaryOne Health Mobile Health Center East,E Main St,Columbus,OH,43205-1629,Franklin,Non-Rural,,,,,
,PrimaryOne Health Mobile Health Center NE,3433 Agler Rd,Columbus,OH,43219-3387,Franklin,Non-Rural,,,,,
,PrimaryOne Health Mobile Health Center South,1905 Parsons Ave,Columbus,OH,43207-1933,Franklin,Non-Rural,,,,,
,PrimaryOne Health Mobile Health Center West,2300 W Broad St,Columbus,OH,43204-3783,Franklin,Non-Rural,,,,,
,PrimaryOne Health Parsons Central,946 Parsons Ave,Columbus,OH,43206-2346,Franklin,Non-Rural,,,,,
,"PrimaryOne Health SBHC 4079 Karl Road, Columbus, OH 43224",4079 Karl Rd,Columbus,OH,43224-2137,Franklin,Non-Rural,,,,,
,"PrimaryOne Health SBHC 4400 Marketing Pl, Suite D Groveport, OH 43125",4400 Marketing Pl STE D,Groveport,OH,43125-9307,Franklin,Non-Rural,,,,,
Mental Health,73999939CJ,"Equitas Health, Inc.",Federally Qualified Health Center Look-alike,Ohio,"Franklin County, OH",,17,NA,Designated,Non-Rural,12/28/2018,09/10/2021
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Clinical Outreach Vehicle (COVe),750 E Long St,Columbus,OH,43203-1846,Franklin,Non-Rural,,,,,
,Equitas Health Akron Health Center,636 W Exchange St,Akron,OH,44302-1306,Summit,Non-Rural,,,,,
,Equitas Health Cincinnati,2805 Gilbert Ave,Cincinnati,OH,45206-1210,Hamilton,Non-Rural,,,,,
,Equitas Health Columbus Administration Office,"1105 Schrock Rd, Ste 400",Columbus,OH,43229-1174,Franklin,Non-Rural,,,,,
,Equitas Health Dayton,1222 S Patterson Blvd STE 230,Dayton,OH,45402-2643,Montgomery,Non-Rural,,,,,
,Equitas Health Dayton #2,1222 S Patterson Blvd STE 200,Dayton,OH,45402-2684,Montgomery,Non-Rural,,,,,
,Equitas Health Dayton #3,"1222 S Patterson Blvd, Ste 220",Dayton,OH,45402-2643,Montgomery,Non-Rural,,,,,
,Equitas Health Dayton #4,"1222 S Patterson Blvd, Ste 150",Dayton,OH,45402-2657,Montgomery,Non-Rural,,,,,
,Equitas Health King Lincoln,750 E Long St,Columbus,OH,43203-1846,Franklin,Non-Rural,,,,,
,Equitas Health King Lincoln Mobile #3,750 E Long St,Columbus,OH,43203-1846,Franklin,Non-Rural,,,,,
,Equitas Health Mobile #1,750 E Long St,Columbus,OH,43203-1846,Franklin,Non-Rural,,,,,
,Equitas Health Pharmacy Dayton,1222 S Patterson Blvd STE 110,Dayton,OH,45402-2643,Montgomery,Non-Rural,,,,,
,Equitas Health Pharmacy King Lincoln,736 E Long St,Columbus,OH,43203-1845,Franklin,Non-Rural,,,,,
,Equitas Health Short North,1033 N High St,Columbus,OH,43201-2409,Franklin,Non-Rural,,,,,
,Equitas Health Toledo,"3450 W Central Ave, Ste 104",Toledo,OH,43606-1403,Lucas,Non-Rural,,,,,
Mental Health,7399993986,HEART OF OHIO FAMILY HEALTH CENTERS,Federally Qualified Health Center,Ohio,"Franklin County, OH",,19,NA,Designated,Non-Rural,09/30/2003,09/10/2021
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Capital Park Family Health Center at Innis Road,2365 Innis Rd,Columbus,OH,43224-3730,Franklin,Non-Rural,,,,,
,Heart of Ohio Family Health at Canal Winchester,3601 Gender Rd,Canal Winchester,OH,43110-9739,Franklin,Non-Rural,,,,,
,Heart of Ohio Family Health at James B. Feibel Center,5000 E Main St,Columbus,OH,43213-2440,Franklin,Non-Rural,,,,,
,Heart of Ohio Family Health at Mount Carmel,"5969 E Broad St, Ste 300",Columbus,OH,43213-1539,Franklin,Non-Rural,,,,,
,Heart of Ohio Family Health at Whitehall Yearling High School,675 S Yearling Rd STE 100,Whitehall,OH,43213-2800,Franklin,Non-Rural,,,,,
,Heart of Ohio Family Health OB-GYN at St. Ann's,495 Cooper Rd STE 420,Westerville,OH,43081-8723,Franklin,Non-Rural,,,,,
Mental Health,7399993992,LOWER LIGHTS CHRISTIAN HEALTH Center Inc,Federally Qualified Health Center,Ohio,"Franklin County, OH",,19,NA,Designated,Non-Rural,04/30/2007,09/10/2021
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Community Refugee and Immigration Services (CRIS),4645 Executive Dr RM Llchc,Columbus,OH,43220-3601,Franklin,Non-Rural,,,,,
,German Village,1560 S High St,Columbus,OH,43207-1803,Franklin,Non-Rural,,,,,
,Hope Resource Center,496 S Wheatland Ave RM Llchc,Columbus,OH,43204-3110,Franklin,Non-Rural,,,,,
,Jordan's Crossing Resource Center,342 N Hague Ave,Columbus,OH,43204-3403,Franklin,Non-Rural,,,,,
,Lower Lights Christian Health Center,1160 W Broad St,Columbus,OH,43222-1352,Franklin,Non-Rural,,,,,
,Lower Lights Health Newark,69 S Terrace Ave,Newark,OH,43055-1355,Licking,Non-Rural,,,,,
,Lower Lights Linden,2028 Cleveland Ave,Columbus,OH,43211-2214,Franklin,Non-Rural,,,,,
,Sanctuary Night,1195 Sullivant Ave RM Llchc,Columbus,OH,43223-1350,Franklin,Non-Rural,,,,,
